id,lemma,V1 frame,UMR,synset_id,URI lemma,roles,example,definition,notes,gramm_info,additional notes (not for processing),
SlaT-2876-n24,habeo,v#v-w73_MPf16_MP,habeo-18,v#02630189,105044,"ACT, PAT",neque modum neque modestiam victores habere,,,,,
SlaT-2876-n31,victor,v#v-w1172_MPf1_MP,uinco-05,v#01108148,130232,"ACT, PAT",neque modum neque modestiam victores habere,,,,,
SlaT-2876-n32,facio,v#v-w76_MPf24_MP,facio-23,v#01712704,102758,"ACT, PAT",foeda crudeliaque in civis facinora facere,,,,,
SlaT-2877-n1,accedo,v#v-w75_MPf8_MP,accedo-02,v#00184511,87084,ACT,huc adcedebat quod L. Sulla exercitum [...] contra morem maiorum luxuriose nimisque liberaliter habuerat,,non manca un arg?,,Q,
SlaT-2877-n3,habeo,v#v-w73_MPf16_MP,habeo-NEW-25,v#02681795,105044,"ACT, PAT, EFF",huc adcedebat quod L. Sulla exercitum [...] contra morem maiorum luxuriose nimisque liberaliter habuerat,"keep in a certain state, position, or activity; e.g.,",,,,
SlaT-2877-n8,ducto,v#v-w1173_MPf1_MP,ducto-05,v#02440244,100203,"ACT, PAT","L. Sulla exercitum, quem in Asia ductaverat, quo sibi fidum faceret contra morem maiorum luxuriose nimisque liberaliter habuerat",,,,,
SlaT-2877-n11,facio,v#v-w76_MPf27_MP,facio-05,v#00120675,102758,"ACT, EFF, PAT","neque sumptui neque modestiae suae parcere, dum illos obnoxios fidosque sibi faceret.",,,,,
SlaT-2877-n13,fidus,v#v-w1174_MPf2_MP,,,,,,,NON-EVENT,,,
SlaT-2878-n1,mollio,v#v-w1175_MPf1_MP,mollio-06,v#00389638,112605,"ACT, PAT",loca amoena voluptaria facile in otio ferocis militum animos molliverant,,,,,
SlaT-2879-n1,insuesco,v#v-w1176_MPf1_MP,insuesco-01,v#00273445,108302,"ACT, ADDR, PAT","ibi primum insuevit exercitus populi Romani amare, potare, signa tabulas pictas vasa caelata mirari",,,,,
SlaT-2879-n9,amo,v#v-w198_MPf5_MP,amo-06,v#01426397,88705,"ACT, PAT","ibi primum insuevit exercitus populi Romani amare, potare, signa tabulas pictas vasa caelata mirari",,,,,
SlaT-2879-n10,poto,v#v-w1177_MPf2_MP,poto-02,v#01171183,118670,ACT,"ibi primum insuevit exercitus populi Romani amare, potare, signa tabulas pictas vasa caelata mirari",,,,,
SlaT-2879-n11,miror,v#v-w1178_MPf1_MP,miror-05,v#02164694,112442,"ACT, PAT","ibi primum insuevit exercitus populi Romani amare, potare, signa tabulas pictas vasa caelata mirari",,,,,
SlaT-2879-n14,pingo,v#v-w1179_MPf1_MP,pingo-01,v#00283911,117857,"ACT, PAT","ibi primum insuevit exercitus populi Romani amare, potare, signa tabulas pictas vasa caelata mirari",,,,,
SlaT-2879-n16,caelo,v#v-w1180_MPf1_MP,caelo-03/caelo-04,v#01256600/v#01321895,92228,"ACT, PAT","ibi primum insuevit exercitus populi Romani amare, potare, signa tabulas pictas vasa caelata mirari",,,,,
SlaT-2879-n17,rapio,v#v-w590_MPf3_MP,rapio-07,v#02344568,122350,"ACT, PAT","ea privatim et publice rapere, delubra spoliare, sacra profanaque omnia polluere",,,,,
SlaT-2879-n22,spolio,v#v-w1181_MPf1_MP,spolio-06,v#02344568,125446,"ACT, PAT","ea privatim et publice rapere, delubra spoliare, sacra profanaque omnia polluere",,,,,
SlaT-2879-n24,polluo,v#v-w1182_MPf1_MP,polluo-07,v#02568065,118312,"ACT, PAT","ea privatim et publice rapere, delubra spoliare, sacra profanaque omnia polluere",,,,,
SlaT-2880-n1,facio,v#v-w76_MPf23_MP,facio-26,v#01753788,102758,"ACT, PAT","ii milites, postquam victoriam adepti sunt, nihil reliqui victis fecere",,,,,
SlaT-2880-n5,adipiscor,v#v-w913_MPf4_MP,adipiscor-08,v#02526085,87476,"ACT, PAT","ii milites, postquam victoriam adepti sunt, nihil reliqui victis fecere",,,,,
SlaT-2880-n9,vinco,v#v-w143_MPf3_MP,uinco-05,v#01108148,130232,"ACT, PAT","ii milites, postquam victoriam adepti sunt, nihil reliqui victis fecere",,,,,
SlaT-2881-n1,fatigo,v#v-w776_MPf2_MP,fatigo-04,v#01765908,102996,"ACT, PAT",secundae res sapientium animos fatigant,,,,,
SlaT-2881-n6,sapio,v#v-w195_MPf5_MP,sapio-01,v#00588888,123386,"ACT, PAT",secundae res sapientium animos fatigant,,,,,
2882a4,fatigo,v#v-w776_MPf2_MP,fatigo-04,v#01765908,102996,"ACT, PAT",secundae res sapientium animos fatigant,,,,,
SlaT-2882-n1,tempero,v#v-w747_MPf2_MP,tempero-09,v#02510337,127773,"ACT, PAT",ne illi conruptis moribus victoriae temperarent,,,,,
SlaT-2882-n4,corrumpo,v#v-w514_MPf5_MP,corrumpo-15,v#02579447,96706,"ACT, PAT",ne illi conruptis moribus victoriae temperarent,,,,,
Par. 12,,,,,,,,,,,,
SlaT-2883-n3,coepio,v#v-w575_MPf2_MP,coepio-01,v#00345761,94695,"ACT, PAT",Lacedaemonii et Athenienses coepere urbis atque nationes subigere,,,,,
SlaT-2883-n5,sum,v#v-w2_MPf226_MP,honoro-NEW-01,v#02457233,105658,"ACT, PAT","divitiae honori esse coepere, et eas gloria imperium potentia sequebatur",,,,single predicate: esse honori > honoro-NEW-01,
SlaT-2883-n7,sequor,v#v-w109_MPf45_MP,sequor-25,v#02720354,124461,"ACT, PAT","divitiae honori esse coepere, et eas gloria imperium potentia sequebatur",,,,,
SlaT-2883-n12,potentia,v#v-w313_MPf2_MP,potentia-04,n#05190804,118570,"ACT, PAT","divitiae honori esse coepere, et eas gloria imperium potentia sequebatur",,NON-EVENT,,,
2883a2,coepio,v#v-w575_MPf2_MP,coepio-01,v#00345761,94695,"ACT, PAT",Lacedaemonii et Athenienses coepere urbis atque nationes subigere,,,,,
SlaT-2883-n13,hebesco,v#v-w1183_MPf1_MP,hebesco-01,v#00193328,105220,ACT,"hebescere virtus, paupertas probro haberi, innocentia pro malevolentia duci coepit",,,,,
2883a4,coepio,v#v-w575_MPf2_MP,coepio-01,v#00345761,94695,"ACT, PAT",Lacedaemonii et Athenienses coepere urbis atque nationes subigere,,,,,
SlaT-2883-n16,habeo,v#v-w73_MPf58_MP,habeo-07,v#00689950,105044,"ACT, EFF, PAT","hebescere virtus, paupertas probro haberi, innocentia pro malevolentia duci coepit",,,,,
SlaT-2883-n18,coepio,v#v-w575_MPf2_MP,coepio-01,v#00345761,94695,"ACT, PAT",Lacedaemonii et Athenienses coepere urbis atque nationes subigere,,,,,
SlaT-2883-n20,duco,v#v-w115_MPf23_MP,duco-09,v#00690614,100196,"ACT, PAT, EFF","hebescere virtus, paupertas probro haberi, innocentia pro malevolentia duci coepit",,,,,
SlaT-2884-n1,invado,v#v-w733_MPf6_MP,inuado2-05,v#02019716,108786,"ACT, PAT",ex divitiis iuventutem luxuria atque avaritia cum superbia invasere,,,,,
SlaT-2885-n2,rapio,v#v-w590_MPf2_MP,rapio-07,v#02344568,122350,"ACT, PAT","rapere omnes, trahere, domum alius agros cupere",,,,,
SlaT-2885-n3,consumo,v#v-w523_MPf3_MP,consumo-20,v#02268351,96194,"ACT, PAT","rapere consumere, sua parvi pendere aliena cupere, pudorem pudicitiam, divina atque humana promiscua, nihil pensi neque moderati habere",,,,,
SlaT-2885-n4,pendeo,v#v-w681_MPf2_MP,pendo-NEW-13,v#00660971,116472,"ACT, PAT",sua parvi pendere,,,,,
SlaT-2885-n7,cupio,v#v-w215_MPf6_MP,cupio-03/cupio-05,v#01825237/v#01828405,97287,"ACT, PAT","rapere omnes, trahere, domum alius agros cupere",,merge,,,
2885a1,habeo,v#v-w73_MPf59_MP,pendo-05,v#00950431,116474,"ACT, PAT","neque id quibus modis adsequeretur, dum sibi regnum pararet, quicquam pensi habebat",,,,single predicate pendo-05 as for consilium-esse/decido-02,
SlaT-2885-n15,habeo,v#v-w73_MPf20_MP,,,,,,,,,,
SlaT-2885-n19,moderor,v#v-w1184_MPf1_MP,moderor-10,v#02510337,112524,"ACT, PAT",nihil pensi neque moderati habere,,,,single predicate as moderor-,
SlaT-2886-n1,sum,v#v-w2_MPf123_MP,operae-pretium-esse-NEW-01,-,-,"ACT, PAT",operae pretium est [...] visere templa deorum,be worth,,,,
SlaT-2886-n4,cognosco,v#v-w118_MPf24_MP,cognosco-02,v#00594337,94738,"ACT, PAT",cum domos atque villas cognoveris in urbium modum exaedificatas,,,,,
SlaT-2886-n8,exaedifico,v#v-w1185_MPf1_MP,exaedifico-02,v#01661243,101735,"ACT, PAT",cum domos atque villas cognoveris in urbium modum exaedificatas,,,,,
SlaT-2886-n11,viso,v#v-w813_MPf2_MP,uiso-03,v#02493030,130384,"ACT, PAT","operae pretium est [...] visere templa deorum, quae nostri maiores religiosissumi mortales fecere",,,,,
SlaT-2886-n14,facio,v#v-w76_MPf23_MP,facio-20,v#01654628,102758,"ACT, PAT","operae pretium est [...] visere templa deorum, quae nostri maiores religiosissumi mortales fecere",,,,,
2887a1,decoro,v#v-w1186_MPf1_MP,decoro-04,v#01675963,98126,"ACT, PAT","illi delubra deorum pietate, domos suas gloria decorabant",,,,,
SlaT-2887-n8,decoro,v#v-w1186_MPf1_MP,decoro-04,v#01675963,98126,"ACT, PAT","illi delubra deorum pietate, domos suas gloria decorabant",,,,,
SlaT-2887-n12,eripio,v#v-w588_MPf9_MP,eripio-04,v#00571596,101432,"ACT, ORIG, PAT",neque victis quicquam praeter iniuriae licentiam eripiebant,,,,,
SlaT-2887-n14,vinco,v#v-w143_MPf3_MP,uinco-05,v#01108148,130232,"ACT, PAT","ii milites, postquam victoriam adepti sunt, nihil reliqui victis fecere",,,,,
SlaT-2887-n16,licentia,v#v-w1187_MPf1_MP,licentia-09,n#14483917,111124,"ACT, PAT",neque victis quicquam praeter iniuriae licentiam eripiebant,,NON-EVENT,,,
SlaT-2888-n2,adimo,v#v-w1188_MPf1_MP,adimo-09,v#02314275,87456,"ACT, ORIG, PAT","hi contra, ignavissumi homines, per summum scelus omnia ea sociis adimere",,,,,
SlaT-2888-n12,relinquo,v#v-w69_MPf18_MP,relinquo-NEW-08,v#02255462,122569,"ACT, ADDR, PAT","hi [...] per summum scelus omnia ea sociis adimere, quae fortissumi viri victores reliquant",let have,,,,
SlaT-2888-n16,victor,v#v-w1172_MPf1_MP,uinco-05,v#01108148,130232,"ACT, PAT","hi [...] per summum scelus omnia ea sociis adimere, quae fortissumi viri victores reliquant",,,,,
2889a1,adimo,v#v-w1188_MPf1_MP,adimo-09,v#02314275,87456,"ACT, ORIG, PAT","hi contra, ignavissumi homines, per summum scelus omnia ea sociis adimere",,,,,
SlaT-2889-n1,sum,v#v-w2_MPf162_MP,identity-91,,,,,,,,,
SlaT-2889-n4,facio,v#v-w76_MPf18_MP,facio-23,v#01712704,102758,"ACT, PAT",quasi iniuriam facere id demum esset imperio uti,,,,,
SlaT-2889-n8,utor,v#v-w28_MPf7_MP,utor-11,v#02568672,130923,"ACT, PAT",quasi iniuriam facere id demum esset imperio uti,,,PAT in ablative,,
Par. 13,,,,,,,,,,,,
SlaT-2890-n1,memoro,v#v-w694_MPf10_MP,memoro-03,v#00953216,112007,"ACT, PAT","quid ea memorem, quae nisi iis qui videre nemini credibilia sunt",,,,,
SlaT-2890-n6,sum,v#v-w2_MPf99_MP,have-mod-91,,,,,,,,,
2890a1,sum,v#v-w2_MPf99_MP,have-mod-91,,,,,,,,,
2890a3,credibilis,v#v-w1139_MPf2_MP,,,,,,,NAs,,,
SlaT-2890-n9,video,v#v-w16_MPf32_MP,uideo-09,v#02129289,130163,"ACT, PAT","quid ea memorem, quae nisi iis qui videre nemini credibilia sunt",,,,,
SlaT-2890-n11,credibilis,v#v-w1139_MPf2_MP,,,,,,,NAs,,,
SlaT-2890-n14,subverto,v#v-w1163_MPf2_MP,subuerto-NEW-07,v#01307142,126484,"ACT, PAT","a privatis compluribus subuorsos montis, maria constrata esse",make level or straight,,,,
SlaT-2890-n18,consterno,v#v-w1189_MPf1_MP,consterno-04,v#01267098,96140,"ACT, PAT","a privatis compluribus subuorsos montis, maria constrata esse",,,,,
SlaT-2891-n1,video,v#v-w16_MPf60_MP,uideo-11,v#02134672,130163,"ACT, EFF, PAT",res eorum [...] satis prospera satisque pollens videbatur,,,passive,,
SlaT-2891-n3,sum,v#v-w2_MPf226_MP,doppio dativo?,,,,,,,,,
SlaT-2892-n1,propero,v#v-w651_MPf11_MP,propero-NEW-06,v#00459296,119934,"ACT, PAT","quippe quas honeste habere licebat, abuti per turpitudinem properabant",urge to an unnatural speed,,,,
SlaT-2892-n3,abutor,v#v-w1091_MPf2_MP,abutor-10,v#02268351,87058,"ACT, PAT","quippe quas honeste habere licebat, abuti per turpitudinem properabant",,,,,
SlaT-2892-n5,habeo,v#v-w73_MPf20_MP,habeo-10,v#02203362,105044,"ACT, PAT","quippe quas honeste habere licebat, abuti per turpitudinem properabant",,have-91?,,Q,
SlaT-2893-n2,incedo,v#v-w765_MPf5_MP,incedo-04,v#01992503,106900,ACT,"lubido stupri, ganeae ceterique cultus non minor incesserat",,,,,
SlaT-2893-n3,libido,v#v-w1112_MPf7_MP,libido-03,n#07486628,110407,"ACT, PAT","lubido stupri, ganeae ceterique cultus non minor incesserat",,NON-EVENT,,,
SlaT-2893-n7,cultus,v#v-w958_MPf3_MP,,,,,,,NON-EVENT,,,
SlaT-2894-n2,patior,v#v-w450_MPf7_MP,patior-10,v#02108026,116222,"ACT, PAT","viri muliebra pati, mulieres pudicitiam in propatulo habere",,,,,
SlaT-2894-n5,habeo,v#v-w73_MPf16_MP,habeo-NEW-25,v#02681795,105044,"ACT, PAT, EFF","viri muliebra pati, mulieres pudicitiam in propatulo habere","keep in a certain state, position, or activity; e.g.,",,,,
SlaT-2895-n1,exquiro,v#v-w1190_MPf1_MP,exquiro-10,v#02153709,102264,"ACT, PAT",vescendi causa terra marique omnia exquirere,,,,,
SlaT-2895-n2,causa,v#v-w258_MPf9_MP,,,,,,,NON-EVENT,,,
SlaT-2895-n3,vesco,v#v-w1191_MPf1_MP,uesco-05,v#01196653,129986,"ACT, PAT",vescendi causa terra marique omnia exquirere,,,,,
SlaT-2896-n1,dormio,v#v-w1192_MPf1_MP,dormio-02,v#00014742,100094,ACT,dormire prius quam somni cupido esset,,,,,
SlaT-2896-n3,sum,v#v-w2_MPf115_MP,,,,,,,,,,
SlaT-2896-n4,cupido,v#v-w1129_MPf2_MP,cupido-NEW-07,n#07484265,97286,PAT,dormire prius quam somni cupido esset,the feeling that accompanies an unsatisfied state,,,,
SlaT-2897-n2,opperior,v#v-w1193_MPf1_MP,opperior-02,v#02637938,115105,"ACT, PAT","non famem aut sitim, neque frigus neque lassitudinem opperiri, sed ea omnia luxu antecapere",,,,,
SlaT-2897-n13,antecapio,v#v-w1194_MPf1_MP,antecapio-04,v#02565491,89173,"ACT, PAT","non famem aut sitim, neque frigus neque lassitudinem opperiri, sed ea omnia luxu antecapere",,,,,
SlaT-2898-n1,incendo,v#v-w762_MPf3_MP,incendo-04/incendo-05,v#01761706/v#02116118,106911,"ACT, PAT","haec iuventutem, ubi familiares opes defecerant ad facinora incendebant",,merge,,,
SlaT-2898-n4,deficio,v#v-w100_MPf3_MP,deficio-NEW-04,v#00561571,98257,ACT,"haec iuventutem, ubi familiares opes defecerant ad facinora incendebant",become used up; be exhausted,,,,
SlaT-2899-n1,careo,v#v-w453_MPf3_MP,careo-01,v#01196037,92848,"ACT, PAT",animus inbutus malis artibus haud facile lubidinibus carebat,,,PAT in ablative,,
SlaT-2899-n3,inbuo,v#v-w1169_MPf1_MP,imbuo-NEW-01,v#00456151,106353,"ACT, PAT",animus inbutus malis artibus haud facile lubidinibus carebat,"fill, soak, or imbue totally",,,,
SlaT-2899-n8,libido,v#v-w1112_MPf5_MP,libido-NEW-08,,110407,"ACT, PAT",animus inbutus malis artibus haud facile lubidinibus carebat,"unlawful or inordinate desire, passion, caprice",NON-EVENT,,,
SlaT-2900-n1,dedo,v#v-w790_MPf5_MP,dedo-02,v#00887463,98205,"ACT, ADDR, PAT",eo profusius omnibus modis quaestui atque sumptui deditus erat,,,,,
SlaT-2900-n7,quaestus,v#v-w1195_MPf1_MP,mereo-03,v#0228929,112109,"ACT, PAT",eo profusius omnibus modis quaestui atque sumptui deditus erat,,EVENT,,since no lucror is available. nominal frame: quaestus-03,
SlaT-2900-n8,sumptus,v#v-w1196_MPf1_MP,sumo-18,v#02267529,126707,"ACT, PAT",eo profusius omnibus modis quaestui atque sumptui deditus erat,,EVENT,,nominal frame: sumptus-01,
Par. 14,,,,,,,,,,,,
SlaT-2901-n1,habeo,v#v-w73_MPf32_MP,have-91,,,,,,,,,
SlaT-2901-n5,corrumpo,v#v-w514_MPf5_MP,corrumpo-15,v#02579447,96706,"ACT, PAT",ne illi conruptis moribus victoriae temperarent,,,,,
SlaT-2901-n10,sum,v#v-w2_MPf99_MP,have-mod-91,,,,,,,,,
SlaT-2901-n13,facio,v#v-w76_MPf30_MP,facio-23,v#01712704,102758,"ACT, PAT",qui facta aliorum scripsere,,,,,
2901a5,habeo,v#v-w73_MPf16_MP,have-91,,,,,,,,,
SlaT-2902-n1,sum,v#v-w2_MPf237_MP,identity-91,,,,"quicumque inpudicus adulter, ganeo manu ventre pene bona patria laceraverat",,,,,
SlaT-2902-n5,lacero,v#v-w1197_MPf1_MP,lacero-NEW-19,v#02267529,109652,"ACT, PAT","quicumque inpudicus adulter, ganeo manu ventre pene bona patria laceraverat",spend completely,,,,
SlaT-2902-n15,conflo,v#v-w1198_MPf1_MP,conflo-NEW-16,v#02304982,95792,"ACT, PAT",quique alienum aes grande conflaverat,get or gather together,,,,
SlaT-2902-n18,alienus,v#v-w1336_MPf3_MP,,,,,,,NAs,,,
SlaT-2902-n20,redimo,v#v-w1199_MPf1_MP,redimo-07,v#02284096,122470,"ACT, PAT","quique alienum aes grande conflaverat, quo flagitium aut facinus redimeret",,,,,
SlaT-2902-n31,convinco,v#v-w94_MPf3_MP,conuinco-06,v#00906367,96464,"ACT, PAT, REG",omnes undique parricidae sacrilegi convicti iudiciis aut pro factis iudicium timentes,,,,,
SlaT-2902-n33,timeo,v#v-w567_MPf2_MP,timeo-01,v#01780202,128264,"ACT, PAT",omnes undique parricidae sacrilegi convicti iudiciis aut pro factis iudicium timentes,,,,,
SlaT-2902-n34,facio,v#v-w76_MPf30_MP,facio-23,v#01712704,102758,"ACT, PAT",qui facta aliorum scripsere,,,,,
SlaT-2902-n36,alo,v#v-w708_MPf2_MP,alo-13,v#01184625,88429,"ACT, PAT",ad hoc quos manus atque lingua periurio aut sanguine civili alebat,,,,,
SlaT-2902-n48,exagito,v#v-w1200_MPf1_MP,exagito-12,v#01764171,101746,"ACT, PAT","postremo omnes quos flagitium, egestas, conscius animus exagitabat",,,,,
SlaT-2902-n53,conscius,v#v-w264_MPf3_MP,,,,,,,NAs,,,
SlaT-2903-n1,efficio,v#v-w476_MPf5_MP,efficio-02,v#00120675,100627,"ACT, EFF, PAT","si quis etiam a culpa vacuos in amicitiam eius inciderat, cotidiano usu atque inlecebris facile par similisque ceteris efficiebatur",,,,,
SlaT-2903-n2,incido^cado,v#v-w475_MPf3_MP,incido-NEW-01,v#00352558,106954,"ACT, PAT","si quis etiam a culpa vacuos in amicitiam eius inciderat, cotidiano usu atque inlecebris facile par similisque ceteris efficiebatur",finally be or do something,,,,
SlaT-2903-n4,vacuus,v#v-w1201_MPf1_MP,,,,,"si quis etiam a culpa vacuos in amicitiam eius inciderat, cotidiano usu atque inlecebris facile par similisque ceteris efficiebatur",,NAs,,,
SlaT-2903-n10,usus,v#v-w62_MPf8_MP,usus-02,n#00413239,131133,"ACT, PAT","si quis etiam a culpa vacuos in amicitiam eius inciderat, cotidiano usu atque inlecebris facile par similisque ceteris efficiebatur",,NON-EVENT,,,
SlaT-2903-n15,par,v#v-w1067_MPf1_MP,,,,,,,NAs,,,
SlaT-2903-n16,similis,v#v-w311_MPf3_MP,similis-01,a#01410606,124826,PAT,"si quis etiam a culpa vacuos in amicitiam eius inciderat, cotidiano usu atque inlecebris facile par similisque ceteris efficiebatur",,NON-EVENT,,,
SlaT-2904-n2,adpeto,v#v-w1202_MPf1_MP,appeto-04,v#01825237,89597,"ACT, PAT",maxume adulescentium familiaritates adpetebat,,,,,
SlaT-2905-n1,capio,v#v-w106_MPf8_MP,capio-25,v#01480770,92686,"ACT, PAT",eorum animi molles et aetate fluxi dolis haud difficulter capiebantur,,,,,
SlaT-2905-n6,fluo,v#v-w741_MPf3_MP,fluo-17,v#02066510,103519,ACT,eorum animi molles et aetate fluxi dolis haud difficulter capiebantur,,,,,
SlaT-2906-n3,flagro,v#v-w1203_MPf1_MP,flagro-NEW-12,,103388,ACT,"ut cuiusque studium ex aetate flagrabat, aliis scorta praebere, aliis canis atque equos mercari",burn (of passion or desire),,,,
SlaT-2906-n4,studium,v#v-w59_MPf12_MP,studium-04,n#05670343,125889,"ACT, PAT","ut cuiusque studium ex aetate flagrabat, aliis scorta praebere, aliis canis atque equos mercari",,NON-EVENT,,,
SlaT-2906-n8,praebeo,v#v-w203_MPf3_MP,praebeo-05,v#01629000,118687,"ACT, ADDR, PAT","ut cuiusque studium ex aetate flagrabat, aliis scorta praebere, aliis canis atque equos mercari",,,,,
SlaT-2906-n11,mercor,v#v-w1204_MPf1_MP,mercor-01,v#02207206,112102,"ACT, PAT","ut cuiusque studium ex aetate flagrabat, aliis scorta praebere, aliis canis atque equos mercari",,,,,
SlaT-2907-n1,parco,v#v-w621_MPf2_MP,parco-02,v#01196037,116001,"ACT, PAT","neque sumptui neque modestiae suae parcere, dum illos obnoxios fidosque sibi faceret.",,,,,
SlaT-2907-n5,sumptus,v#v-w1196_MPf2_MP,,,,,,,NON-EVENT,,,
SlaT-2907-n10,facio,v#v-w76_MPf27_MP,facio-05,v#00120675,102758,"ACT, EFF, PAT","neque sumptui neque modestiae suae parcere, dum illos obnoxios fidosque sibi faceret.",,,,,
SlaT-2907-n14,obnoxius,v#v-w1205_MPf1_MP,,,,,,,NAs,,,
SlaT-2907-n15,fidus,v#v-w1174_MPf2_MP,,,,,"neque sumptui neque modestiae suae parcere, dum illos obnoxios fidosque sibi faceret.",,NAs,,,
SlaT-2908-n1,scio,v#v-w90_MPf13_MP,scio-04,v#00594621,123732,"ACT, PAT","scio fuisse nonnullos, qui ita existumarent iuventutem, quae domum Catilinae frequentabat, parum honeste pudicitiam habuisse",,,,,
SlaT-2908-n2,sum,v#v-w2_MPf113_MP,exist-91,,,,,,,,,
SlaT-2908-n4,existimo,v#v-w591_MPf3_MP,existimo-03,v#00689344,102057,"ACT, EFF, PAT","scio fuisse nonnullos, qui ita existumarent iuventutem, quae domum Catilinae frequentabat, parum honeste pudicitiam habuisse",,,,perche EFF?,ELEONORA
SlaT-2908-n7,habeo,v#v-w73_MPf16_MP,habeo-NEW-25,v#02681795,105044,"ACT, PAT, EFF",huc adcedebat quod L. Sulla exercitum [...] contra morem maiorum luxuriose nimisque liberaliter habuerat,"keep in a certain state, position, or activity; e.g.,",,,,
SlaT-2908-n9,frequento,v#v-w1206_MPf1_MP,frequento-06,v#01844431,103784,"ACT, PAT","scio fuisse nonnullos, qui ita existumarent iuventutem, quae domum Catilinae frequentabat, parum honeste pudicitiam habuisse",,,,,
SlaT-2909-n2,valeo,v#v-w622_MPf4_MP,ualeo-07,v#02536557,129509,ACT,ex aliis rebus magis quam quod cuiquam id compertum foret haec fama valebat,,,,,
2909a1,valeo,v#v-w622_MPf5_MP,ualeo-07,v#02536557,129509,ACT,ex aliis rebus magis quam quod cuiquam id compertum foret haec fama valebat,,,,,
SlaT-2909-n7,comperio,v#v-w816_MPf2_MP,comperio-NEW-09,v#00721302,95309,"ACT, PAT",ex aliis rebus magis quam quod cuiquam id compertum foret haec fama valebat,learn or discover with certainty,,,,
Par. 15,,,,,,,,,,,,
